,Title,Link,Source,Published,Subjectivity,Polarity,Analysis
0,Bitcoin slides below $44K in April first as trader warns ‘something is off’ with BTC - Cointelegraph,https://cointelegraph.com/news/bitcoin-slides-below-44k-in-april-first-as-trader-warns-something-is-off-with-btc,https://cointelegraph.com,"Wed, 06 Apr 2022 13:34:38 GMT",0.3333333333333333,0.25,Positive
1,Crypto Billionaire Mike Novogratz Says Bitcoin (BTC) To Rise Post Fed Pause - Bloomberg,https://www.bloomberg.com/news/articles/2022-04-06/novogratz-says-bitcoin-will-go-to-the-moon-once-fed-pauses,https://www.bloomberg.com,"Wed, 06 Apr 2022 14:45:04 GMT",0.0,0.0,Positive
2,This crypto fund has outperformed bitcoin for the last five years. Here’s how - CNBC,https://www.cnbc.com/2022/04/06/this-crypto-fund-has-outperformed-bitcoin-for-the-last-five-years-heres-how.html,https://www.cnbc.com,"Wed, 06 Apr 2022 11:35:03 GMT",0.06666666666666667,0.0,Positive
3,What Is Bitcoin Pizza Day? - CoinDesk,https://www.coindesk.com/learn/what-is-bitcoin-pizza-day/,https://www.coindesk.com,"Wed, 06 Apr 2022 14:37:42 GMT",0.0,0.0,Positive
4,Bitcoin offering ‘good entry point’ for investors: Expert - Fox Business,https://www.foxbusiness.com/markets/bitcoin-offering-good-entry-point-for-investors-expert,https://www.foxbusiness.com,"Wed, 06 Apr 2022 13:04:41 GMT",0.6000000000000001,0.7,Positive
5,"First Mover Americas: Luna Foundation Guard Is Back Buying Bitcoin, Fed Minutes on Deck - CoinDesk",https://www.coindesk.com/business/2022/04/06/first-mover-americas-bitcoin-dip-buyers-versus-adverse-macro-fed-minutes-eyed/,https://www.coindesk.com,"Wed, 06 Apr 2022 13:41:00 GMT",0.16666666666666666,0.125,Positive
6,Terra LFG outdoes MicroStrategy with 5K BTC buy after Bitcoin price dips under $45K - Cointelegraph,https://cointelegraph.com/news/terra-lfg-outdoes-microstrategy-with-5k-btc-buy-after-bitcoin-price-dips-under-45k,https://cointelegraph.com,"Wed, 06 Apr 2022 07:36:24 GMT",0.0,0.0,Positive
7,Bitcoin outflows from multiple exchanges suggest BTC price hike is imminent - Finbold - Finance in Bold,https://finbold.com/bitcoin-outflows-from-multiple-exchanges-suggest-btc-price-hike-is-imminent/,https://finbold.com,"Wed, 06 Apr 2022 13:29:37 GMT",0.3333333333333333,0.16666666666666666,Positive
8,Observers Cautious for Bitcoin as US Inflation-Adjusted Bond Yield Hits 2-Year High - CoinDesk,https://www.coindesk.com/markets/2022/04/06/observers-cautious-for-bitcoin-as-us-inflation-adjusted-bond-yield-hits-2-year-high/,https://www.coindesk.com,"Wed, 06 Apr 2022 09:12:00 GMT",0.5399999999999999,0.16,Positive
9,"Market Wrap: Bitcoin Rebounds Amid Lower Volatility, Altcoins Outperform - CoinDesk",https://www.coindesk.com/markets/2022/04/05/market-wrap-bitcoin-and-stocks-briefly-dip-after-fed-comments-doge-rallies/,https://www.coindesk.com,"Tue, 05 Apr 2022 20:27:00 GMT",0.0,0.0,Positive
10,"MicroStrategy subsidiary adds another 4,197 BTC to balance sheet - Cointelegraph",https://cointelegraph.com/news/microstrategy-subsidiary-adds-another-4-197-btc-to-balance-sheet,https://cointelegraph.com,"Tue, 05 Apr 2022 19:00:00 GMT",0.0,0.0,Positive
